Gene.stable.ID	Gene.name
ENSCHAG00000018115	gimap7
ENSCHAG00000018124	gimap9
ENSCHAG00000018508	gimap8
ENSCHAG00000018517	gimap9
ENSCHAG00000018588	clec4f
ENSCHAG00000018631	trb
ENSCHAG00000018636	clec4e
ENSCHAG00000018675	nelfa
ENSCHAG00000018701	rnh1
ENSCHAG00000018733	si:ch73-138n13.1
ENSCHAG00000018744	gimap9
ENSCHAG00000018799	ncaldb
ENSCHAG00000018942	trb
ENSCHAG00000018967	trbv29-1
ENSCHAG00000018977	trbv7-4
ENSCHAG00000019057	
ENSCHAG00000019080	trbv18
ENSCHAG00000019113	trav36dv7
ENSCHAG00000019127	trbv19
ENSCHAG00000019383	ssuh2
ENSCHAG00000019628	
ENSCHAG00000019646	
ENSCHAG00000019685	
ENSCHAG00000019714	tmem233
ENSCHAG00000019758	LYZ
ENSCHAG00000019793	
ENSCHAG00000019814	abcb6a
ENSCHAG00000020185	
ENSCHAG00000020197	
ENSCHAG00000020425	serpine3
ENSCHAG00000020683	gfod2
ENSCHAG00000020698	c3
ENSCHAG00000020700	caprin2
ENSCHAG00000020705	cog4
ENSCHAG00000020721	cd48
ENSCHAG00000020732	
ENSCHAG00000020744	cd84
ENSCHAG00000020759	pycard
ENSCHAG00000020765	
ENSCHAG00000020815	
ENSCHAG00000020842	rnh1
ENSCHAG00000020877	
ENSCHAG00000020944	
ENSCHAG00000020975	art5
ENSCHAG00000021014	art5
ENSCHAG00000021019	cacna2d3
ENSCHAG00000021028	
ENSCHAG00000021035	art5
ENSCHAG00000021038	loxl3b
ENSCHAG00000021090	caspa
ENSCHAG00000021106	trim13
ENSCHAG00000021114	CPO
ENSCHAG00000021121	nlrc5
ENSCHAG00000021216	caspa
ENSCHAG00000021434	xkr9
ENSCHAG00000021473	nlrp1
ENSCHAG00000021502	si:dkey-26i13.8
ENSCHAG00000021573	bdmd1
ENSCHAG00000021631	bdmd1
ENSCHAG00000021959	nlrp3
ENSCHAG00000022043	dnm2b
ENSCHAG00000022134	nuggc
ENSCHAG00000022232	nuggc
ENSCHAG00000022245	gimap9
ENSCHAG00000022311	pgbd4
ENSCHAG00000022356	traf6
ENSCHAG00000022359	
ENSCHAG00000022368	six1a
ENSCHAG00000022433	aste1a
ENSCHAG00000022473	aste1a
ENSCHAG00000022493	aste1a
ENSCHAG00000022619	apob
ENSCHAG00000023041	
ENSCHAG00000023405	cntn5
ENSCHAG00000023539	dclk3
ENSCHAG00000023661	gimap8
ENSCHAG00000023800	cd38
ENSCHAG00000024096	wasla
ENSCHAG00000024125	psmb9-a
ENSCHAG00000024132	psmb12
ENSCHAG00000024137	patr-a
ENSCHAG00000024152	
ENSCHAG00000024153	nectin3
ENSCHAG00000024158	nectin3
ENSCHAG00000024169	psmb9-a
ENSCHAG00000024171	psmb12
ENSCHAG00000024172	
ENSCHAG00000024184	tap2a
ENSCHAG00000024275	mr1
ENSCHAG00000024290	psmb8a
ENSCHAG00000024300	psmb9a
